NCTId,Condition,Brief Title,Completion Date,Intervention Name,Phase,Enrollment,Primary Outcome,Secondary Outcome,Study Type,Lead Sponsor,Eligibility,Location,Study First Post Date
NCT04678375,"Artificial Intelligence, Retinal Diseases",Artificial Intelligence for Detecting Retinal Diseases,2020-10-01,Retinal diseases diagnosed by artificial intelligence algorithm,Unaddressed,1000000,"We used the receiver operating characteristic (ROC) curve and area under curve to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases., We used sensitivity and specificity to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases., We used positive predictive value and negative predictive value to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases., We used F1 score to examine the ability of this artificial intelligence algorism recognition and classification of retinal diseases.","Using medical records as the gold standard, we test the accuracy of this artificial intelligence algorism recognition and classification of systemic biomarkers and diseases: age, sex, blood pressure, blood hemoglobin, cardiovascular diseases, thyroid function and kidney function.",Observational,,"Inclusion Criteria:

fundus photography around 45° field which covers optic disc and macula
complete identification information

Exclusion Criteria:

insufficient information for diagnosis.",China,2020-12-21
NCT05820347,Respiratory Failure,Muscle Pressure Estimation With Artificial Intelligence During Mechanical Ventilation,2023-07-18,Artificial Intelligence Estimation of Muscle Pressure during Mechanical Ventilation,Not Applicable,50,"Analysis of the bias and limits of agreement (Bland-Altman plot) between muscle pressure estimated amplitude in cmH2O from artificial intelligence and measured by esophageal balloon., Correlation, reported as R-squared and a correlation plot, between amplitude in cmH2O of muscle pressure estimation by artificial intelligence and esophageal balloon., Time difference (in ms) between initiation of a spontaneous breathing cycle and ending of a spontaneous breathing cycle between artificial intelligence and esophageal balloon.","Number of patient-ventilator asynchronies detected using artificial intelligence compared with number of asynchronies detected by experts assessing airway pressure, flow and esophageal balloon waveforms.",Interventional,,"Inclusion Criteria:

Patients under assisted or assist-control mechanical ventilation

Exclusion Criteria:

Contraindication to esophageal catheter insertion (esophageal cancer or bleeding, esophageal fistula, skull base fracture, uncontrolled coagulopathies)
Contraindication to transient neuromuscular blockade
Bronchopleural fistula (persistent air leak)
Hemodynamic instability (norepinephrine > 1mcg/kg/min)
Gestation
Current sinus infection
Refusal from patient's family of attending physician
Palliative care",Brazil,2023-04-19
NCT04676308,Artificial Intelligence,The CERTAIN Study: Combining Endo-cuff in a Randomized Trial for Artificial Intelligence Navigation,2022-05-31,Artificial Intelligence,Unaddressed,1300,To compare the additional diagnostic yield obtained by EndoCuff Vision aided-colonoscopy to the yield obtained by the Standard colonoscopy performed with the Artificial Intelligence ¬-GI GeniusTM- assistance in different colonoscopy settings.,,Observational,,"Inclusion Criteria:

subjects undergoing a colonoscopy for gastrointestinal symptoms, fecal immunohistochemical test positivity, primary screening or post-polypectomy surveillance

Exclusion Criteria:

subjects with personal history of CRC, or IBD.
subjects affected with genetic mutations such as Lynch syndrome or Familiar Adenomatous Polyposis.
patients with inadequate bowel preparation (defined as Boston Bowel Preparation Scale > 2 in any colonic segment).
patients with previous colonic resection.
patients on antithrombotic therapy, precluding polyp resection.
patients with history of colonic strictures, precluding ECV use.
patients who were not able or refused to give informed written consent.",Italy,2020-12-21
NCT03268031,"Artificial Intelligence, Glaucoma",Artificial Intelligence-assissted Glaucoma Evaluation,2020-02-01,Visual field and OCT tests,Unaddressed,10800,Accuracy of diagnosis by artificial intelligence algorithm and compare this result with glaucoma specialists,"Sensitivity of diagnosis by artificial intelligence algorithm, Specificity of diagnosis by artificial intelligence algorithm",Observational,,"Inclusion Criteria:

BCVA>0.1
able to complete reliable visual field test
no history of intraocular surgery or fundus laser

Exclusion Criteria:

1. unable to complete visual field test",China,2017-08-31
NCT05435872,"Diagnoses Disease, Quality Control, Endoscopy, Artificial Intelligence",Gastrointestinal Endoscopy Artificial Intelligence Cloud Platform in Gastrointestinal Endoscopy Screening,2024-07-01,The Artificial intelligence Cloud Platform,Not Applicable,2000,"The number of patients diagnosed with early gastrointestinal cancer is divided by the total number of patients undergoing digestive endoscopy of the intervention group with Artificial Intelligence Cloud Platform Auxiliary and the control group with nothing.

The Early Gastrointestinal cancer in this study is defined as ① early gastric cancer and ② progressive adenoma of the colon and serrated adenoma.

The pathology of biopsies will be referred to the official report of the pathologists in the participating centers, which shall be filled in and uploaded to the cloud platform.","The principle of quality control for gastroscopy in this part is 'no neglected area for observation in the stomach'. The artificial intelligence system can automatically identify the corresponding sites (according to the standard anatomical sites) of the photos taken under the gastroscope and mark them as green on the stomach schematic diagram. After all the sites are observed and corresponding photos are taken, the stomach schematic diagram totally turns green, which would be regarded as no blind sites., The quality control of colonoscopy is assessed with the following criteria: ① Quality of bowel preparations, which is evaluated with the Boston score; ② Withdrawal time, which should be no less than 6 minutes from the time of the first cecum image under colonoscopy to the time of the last rectum image.",Interventional,,"Inclusion Criteria:

From the beginning to the end of the study, patients who received gastroscopy and colonoscopy due to confirmed clinical indications were admitted to Beijing Aerospace General Hospital, Beijing Fangshan District Liangxiang Hospital, People's Hospital of Beijing Daxing District, Gucheng Country Hospital of Hebei Province, and Nanhe Country Hospital of Hebei Province.
After fully informing and answering the questions, the endoscopic examination with Gastrointestinal Endoscopy Artificial Intelligence Cloud Platform can be accepted, and a signed informed consent form can be provided.

Exclusion Criteria:

Patients who refuse to participate in this study;
Patients with intolerance or contraindications to endoscopic examination, such as severe cardiopulmonary diseases, coagulation disorders, or a total of platelet less than 50*10^9/L.",China,2022-06-28
NCT05139186,Artificial Intelligence,The EYE Study Enhancing the Diagnostic Yield of Standard Colonoscopy by Artificial Intelligence Aided Endoscopy,2022-12-31,Artificial Intelligence,Not Applicable,1120,"APC, defined as the total number of histologically confirmed adenomas and carcinomas detected in the colonoscopy divided by the total number of colonoscopies.","PPV, defined as the total number of histologically confirmed adenomas and carcinomas detected during the colonoscopy, divided by the total number of excisions in the colonoscopy.",Interventional,,"Inclusion Criteria:

- patients aged 45 or older undergoing average risk colonoscopy (screening) or follow-up colonoscopy for previous history of polyps (surveillance interval of 3 years or greater).

Exclusion Criteria:

subjects with personal history of CRC, or IBD.
subjects affected with Lynch syndrome or Familiar Adenomatous Polyposis.
patients with inadequate bowel preparation (defined as Boston Bowel Preparation Scale < 2 in any colonic segment).
patients with previous colonic resection.
patients on antithrombotic therapy, precluding polyp resection.
patients who were not able or refused to give informed written consent.",Italy,2021-12-01
NCT05699850,ARTIFICIAL INTELLIGENCE (AI) APPLICATIONS IN REPRODUCTIVE MEDICINE,ARTIFICIAL INTELLIGENCE IN REPRODUCTIVE MEDICINE,2023-04-01,ARTIFICIAL INTELLIGENCE (AI),Unaddressed,10,ARTIFICIAL INTELLIGENCE (AI) APPLICATIONS IN REPRODUCTIVE MEDICINE,,Observational,,"Inclusion Criteria:

fertility related

Exclusion Criteria:

fertile people","Egypt, Egypt",2023-01-26
NCT05566002,"Pulmonary Hypertension, Pulmonary Arterial Hypertension",Artificial Intelligence-assisted Evaluation of Pulmonary HYpertension,2024-12-31,Right heart catheterization,Unaddressed,2000,The investigators will calculate the area under the receiver operating characteristic curve of diagnosis by artificial intelligence-assisted algorithm and compare this index between artificial intelligence-assisted algorithm and RHC.,"The investigators will calculate the sensitivity of diagnosis by artificial intelligence-assisted algorithm and compare this index between artificial intelligence-assisted algorithm and RHC., The investigators will calculate the sensitivity of diagnosis by artificial intelligence-assisted algorithm and compare this index between artificial intelligence-assisted algorithm and RHC.",Observational,,"Inclusion Criteria:

Age ≥18 years old
Patients previously received chest X-ray, electrocardiography, echocardiography, other routine examinations, and RHC at the Fuwai Hospital, CAMS & PUMC, Beijing, China

Exclusion Criteria:

Patients without RHC
The quality of routine examinations and RHC cannot meet the requirement for further analysis
Severe loss of results of routine examinations (chest X-ray, electrocardiography, echocardiography, etc.)",China,2022-10-04
NCT03784209,"Gastric Diseases, Artificial Intelligence, Confocal Laser Endomicroscopy",Automatic Real-time Diagnosis of Gastric Mucosal Disease Using pCLE With Artificial Intelligence,2021-09-29,The diagnosis of Artificial Intelligence and endoscopist,Unaddressed,951,"The primary outcome is to test the diagnostic accuracy, sensitivity, specificity, PPV, NPV of the Artificial Intelligence for diagnosing gastric mucosal disease on real-time pCLE examination.","The secondary outcome is to compare the diagnosis efficiency (including diagnostic accuracy, sensitivity, specificity, PPV, NPV for diagnosing gastric mucosal disease on real-time pCLE examination) between Artificial Intelligence and endoscopists.",Observational,,"Inclusion Criteria:

aged between 18 and 80;
agree to give written informed consent.

Exclusion Criteria:

Patients under conditions unsuitable for performing CLE including coagulopathy , impaired renal or hepatic function, pregnancy or breastfeeding, and known allergy to fluorescein sodium;
Inability to provide informed consent",China,2018-12-21
NCT05322993,Colonic Polyp,Improving Polyp Detection Rate by Artificial Intelligence in Colonoscopy,2023-12-31,"GI Genius, Standard white light colonoscope",Not Applicable,4500,"Evaluate the PDR with and without the use of GI Genus artificial intelligence, Evaluate if there is an improved PDR after the use of AI","To evaluate if the withdrawal time is influenced by the use of artificial intelligence, To evaluate if there are more registered complications with the use of AI",Interventional,,"Inclusion Criteria:

Patients coming to outpatient clinics to perform colonoscopies

Exclusion Criteria:

Total colectomy
Reservation against registration in Gastronet, the national quality register for colonoscopy in Norway","Norway, Norway, Norway",2022-04-12
